"Code","Name"
"UMBRA","Aeronautica Umbra (Italy)"
"UNC","UNC Helicopter (United States)"
"UNIKOMTRANSO","Unikomtranso AO (Russia)"
"UNIS","Unis Obchodni spol sro (Czech Republic)"
"UNITED CANADA","United Aircraft of Canada (Canada)"
"UNITED CONSULTANT","United Consultant Corporation (United States)"
"UNIVERSAL COMPOSITE","Universal Composite Aviation (France) "
"URBAN","Urban Air sro (Czech Republic)"
"USTINOV"," Valentin L Ustinov (Russia)"
"UTVA","UTVA Fabrika Aviona (Serbia)"
"VALENTIN","Valentin Flugzeugbau GmbH (Germany)"
"VALLADEAU","Valladeau (France)"
"VALMET","Valmet Aviation Industries (Finland)"
"VALTION","Valtion Lentokonetehdas (Finland)"
"VANESSA AIR","Vanessa Air sro (Czech Republic)"
"VAN'S","Van's Aircraft Inc (United States)"
"VARDAX","Vardax Corporation (United States)"
"VARGA","Varga Aircraft Corporation (United States)"
"VAT","Vertical Aviation Technologies Inc (United States)"
"VEB","Vereinigung Volkseigener Betriebe Flugzeugbau Dresden (Germany)"
"VELOCITY","Velocity Inc (United States)"
"VENTURE","Venture Light Aircraft Resources LLC (United States)"
"VERHEES","Verhees Engineering (Belgium)"
"VERILITE","Verilite Aircraft Company Inc (United States)"
"VERTOL","Vertol Aircraft Company (United States)"
"VFW","VFW-Fokker GmbH (Germany)"
"VICKERS","Vickers (Aviation) Ltd (United Kingdom)"
"VICKERS-SLINGSBY","Vickers-Slingsby Division of Vickers Ltd Offshore Engineering Group (United Kingdom)"
"VICTA","Victa Ltd (Australia)"
"VIDOR","Giuseppe Vidor (Italy)"
"VIKING (1)","Viking Aircraft Ltd (United States)"
"VIKING (2)","Viking Air Ltd (Canada)"
"VIPER","Viper Aircraft Corporation (United States)"
"VISIONAIRE","VisionAire Corporation (United States)"
"VITEK","Kompaniya Vitek (Russia)"
"VOL MEDITERRANI","Vol Mediterrani SL (Spain) "
"VOLAIRCRAFT","Volaircraft Inc (United States)"
"VOLANTE","Volante Aircraft Company (United States)"
"VOLMER","Volmer Aircraft (United States)"
"VOLPAR","Volpar Inc (United States)"
"VOUGHT","Vought Aircraft Company (United States)"
"VOUGHT-SIKORSKY","Vought-Sikorsky Division of United Aircraft (United States)"
"VSR","VSR (United States)"
"VSTOL","VSTOL Aircraft Corporation (United States)"
"VTOL AIRCRAFT","VTOL Aircraft Pty Ltd (Australia)"
"VULCANAIR","VulcanAir SpA (Italy)"
"VULTEE","Vultee Aircraft Division of Avco (United States)"
"WACO","Waco Aircraft Company (United States)"
"WACO CLASSIC","Waco Classic Aircraft Corporation (United States)"
"WACO OHIO","Waco Aircraft Company Ohio Inc (United States)"
"WAGAERO","WagAero Inc (United States)"
"WALLERKOWSKI","Heinz Wallerkowski (Germany)"
"WAR","War Aircraft Replicas (United States)"
"WARNER (1)","Richard Warner Aviation Inc (United States)"
"WARNER (2)","Warner Aerocraft Inc (United States)"
"WASSMER","Société des Etablissements Benjamin Wassmer (France)"
"WATSON","Gary Watson (United States)"
"WEATHERLY","Weatherly Aviation Company Inc (United States)"
"WENDT","Wendt Aircraft Engineering (United States)"
"WESTERN","Western Aircraft Supplies (Canada)"
"WESTLAND","GKN Westland Helicopters Ltd (United Kingdom)"
"WET AERO","Wet Aero Inc (United States)"
"WHATLEY","Vascoe Whatley Jr (United States)"
"WHEELER","Wheeler Aircraft Company (United States)"
"WHISPER",""
"WHITE","E.Marshall White (United States)"
"WHITE LIGHTNING","White Lightning Aircraft Corporation (United States)"
"WILDEN","Helmut Wilden (Germany)"
"WINDECKER","Windecker Industries Inc (United States)"
"WINDEXAIR","Windexair AB (Sweden)"
"WING","Wing Aircraft Company (United States)"
"WINGTIP TO WINGTIP","Wingtip to Wingtip LLC (United States)"
"WINNER","Winner SCS (Belgium)"
"WITTMAN","Steve J.Wittman (United States)"
"WOLF","Donald S.Wolf (United States)"
"WOLFSBERG","Wolfsberg Aircraft Corporation NV (Belgium)"
"WOODS","H.L.Woods (United States)"
"WREN","Wren Aircraft Corporation (United States)"
"WUHAN","Wuhan Helicopter General Aviation Corporation (China)"
"WÜST","WQS - Wüst Quality Systems GmbH (Germany)"
"WZL 3","Wojskowe Zaklady Lotnicze Nr.3 (Poland)"
"XIAN","Xian Aircraft Company (China)"
"XTREMEAIR","XtremeAir GmbH (Germany)"
"YAKIMA AEROSPORT","Yakima Aerosport LLC (United States)"
"YAKOVLEV","Moskovskii Mashinostroitelnyy Zavod "Skorost" Imeni A.S.Yakovleva (Russia)"
"YAKOVLEV AIRCRAFT","Yakovlev Aircraft Company (Russia)"
"YALO","Zaklad Naprawy i Budowy Sprzetu Latajacego Yalo SC (Poland)"
"ZENAIR","Zenair Ltd (Canada)"
"ZENITH","Zénith Aircraft Company (United States)"
"ZIVKO","Zivko Aeronautics Inc (United States)"
"ZLIN","Moravan Aeroplanes Inc (Czech Republic)"
"ZLIN AVIATION"," Zlin Aviation sro (Czech Republic)"
